connector,model,reasoning_requested,structured_output_mode,samples,sample_ids,baseline,run_002,run_003,historical_stability_class,repeat_stability_class,provider_success,parser_pass,baseline_failure_recovered_run_002,baseline_failure_recovered_either_repeat
codex,gpt-5.6-luna,low,NONE,3,"[""codex/gpt-5.6-luna/low/run-001"",""codex/gpt-5.6-luna/low/run-002"",""codex/gpt-5.6-luna/low/run-003""]",SUCCESS|TRUNCATED|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
antigravity,claude-opus-4-6-thinking,default,NONE,3,"[""antigravity/claude-opus-4-6-thinking/default/run-001"",""antigravity/claude-opus-4-6-thinking/default/run-002"",""antigravity/claude-opus-4-6-thinking/default/run-003""]",SUCCESS|UNKNOWN|FAIL,SUCCESS|UNKNOWN|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,1,false,true
antigravity,gemini-3.6-flash-medium,medium,NONE,3,"[""antigravity/gemini-3.6-flash-medium/medium/run-001"",""antigravity/gemini-3.6-flash-medium/medium/run-002"",""antigravity/gemini-3.6-flash-medium/medium/run-003""]",ERROR|EMPTY|NOT_ATTEMPTED,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,REPRODUCED_2_OF_3,2,2,false,false
antigravity,gpt-oss-120b-medium,medium,NONE,3,"[""antigravity/gpt-oss-120b-medium/medium/run-001"",""antigravity/gpt-oss-120b-medium/medium/run-002"",""antigravity/gpt-oss-120b-medium/medium/run-003""]",SUCCESS|UNKNOWN|FAIL,SUCCESS|MALFORMED_JSON|FAIL,ERROR|EMPTY|NOT_ATTEMPTED,MIXED,MIXED,2,0,false,false
opencode,opencode-go/hy3,none,NONE,3,"[""opencode/opencode-go-hy3/none/run-001"",""opencode/opencode-go-hy3/none/run-002"",""opencode/opencode-go-hy3/none/run-003""]",SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
opencode,opencode-go/kimi-k2.6,default,NONE,3,"[""opencode/opencode-go-kimi-k2.6/default/run-001"",""opencode/opencode-go-kimi-k2.6/default/run-002"",""opencode/opencode-go-kimi-k2.6/default/run-003""]",ERROR|EMPTY|NOT_ATTEMPTED,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,REPRODUCED_2_OF_3,REPRODUCED_2_OF_3,2,2,false,false
opencode,opencode-go/longcat-2.0,high,NONE,3,"[""opencode/opencode-go-longcat-2.0/high/run-001"",""opencode/opencode-go-longcat-2.0/high/run-002"",""opencode/opencode-go-longcat-2.0/high/run-003""]",SUCCESS|FENCED_JSON|PASS,SUCCESS|FENCED_JSON|PASS,ERROR|EMPTY|NOT_ATTEMPTED,REPRODUCED_2_OF_3,REPRODUCED_2_OF_3,2,2,false,false
opencode,opencode-go/longcat-2.0,low,NONE,3,"[""opencode/opencode-go-longcat-2.0/low/run-001"",""opencode/opencode-go-longcat-2.0/low/run-002"",""opencode/opencode-go-longcat-2.0/low/run-003""]",SUCCESS|UNKNOWN|FAIL,ERROR|EMPTY|NOT_ATTEMPTED,SUCCESS|FENCED_JSON|PASS,MIXED,MIXED,2,1,false,true
opencode,opencode-go/mimo-v2.5-pro,default,NONE,3,"[""opencode/opencode-go-mimo-v2.5-pro/default/run-001"",""opencode/opencode-go-mimo-v2.5-pro/default/run-002"",""opencode/opencode-go-mimo-v2.5-pro/default/run-003""]",SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,SUCCESS|RAW_CANONICAL_JSON|PASS,ONE_OFF_1_OF_3,ONE_OFF_1_OF_3,3,2,true,true
opencode,opencode-go/minimax-m2.7,default,NONE,3,"[""opencode/opencode-go-minimax-m2.7/default/run-001"",""opencode/opencode-go-minimax-m2.7/default/run-002"",""opencode/opencode-go-minimax-m2.7/default/run-003""]",SUCCESS|TRUNCATED|FAIL,SUCCESS|MALFORMED_JSON|FAIL,SUCCESS|RAW_CANONICAL_JSON|PASS,MIXED,MIXED,3,1,false,true
